rank_id,book_id,title,author,field,rental_status
1,9791191114225,작별인사,김영하,소설,1
2,9791168411685,흔한남매 10,흔한남매 (원작),어린이(초등),1
3,9791161571188,불편한 편의점(40만부 기념 벚꽃 에디션),김호연,소설,1
4,9791164064243,이상한 과자 가게 전천당 14,히로시마 레이코,어린이(초등),0
5,9788954685887,2022 제13회 젊은작가상 수상작품집,임솔아,소설,1
6,9791191347685,마음의 법칙,폴커 키츠,인문,0
7,9788901259307,운명을 바꾸는 부동산 투자 수업: 기초편,정태익,경제/경영,1
8,9791166686665,저주토끼(3판),정보라,소설,0
9,9791170400523,이어령의 마지막 수업,김지수,인문,1
10,9788972773610,컬러애 물들다,밥 햄블리,자기계발,1
11,9791189327156,물고기는 존재하지 않는다,룰루 밀러,과학,1
12,9788901259703,나의 투자는 새벽 4시에 시작된다,유목민,경제/경영,1
13,9791197377143,"어서 오세요, 휴남동 서점입니다",황보름,소설,1
14,9791191043761,멘탈을 바꿔야 인생이 바뀐다,박세니,자기계발,1
15,9791130677774,웰씽킹(10만 부 기념 한정판 골드 에디션),켈리 최,자기계발,1
16,9791191777154,게으른 뇌에 행동 스위치를 켜라,오히라 노부타카,자기계발,1
17,9788949162188,둥실이네 떡집(난 책읽기가 좋아)(양장본 HardCover),김리리,어린이(초등),0
18,9791191043518,테라피스트,B. A. 패리스,소설,1
19,9788933871805,무엇이 옳은가,후안 엔리케스,인문,1
20,9791158883591,부자 아빠 가난한 아빠 1(20주년 특별 기념판)(개정증보판),로버트 기요사키,경제/경영,1
